CommunityID,Membros,% Total,Top Contribuidor
4,171,7.97%,DanielSilvaol
3,170,7.92%,EnriqueGF
18,124,5.78%,VRAutomatize
24,107,4.99%,JBdesarrollo
0,98,4.57%,Simplobot1
20,96,4.47%,s-marques
7,91,4.24%,vmssistemas
10,87,4.05%,OscarAgent
8,87,4.05%,anirudhbagri
5,85,3.96%,Vitordotpy
6,80,3.73%,juancresc
22,75,3.49%,marcelo-candido
33,71,3.31%,trojantm
16,71,3.31%,paulohenrique14
14,70,3.26%,marlonvinicius
62,58,2.70%,lokoquax
15,49,2.28%,IcaruuS22
31,48,2.24%,VicenteBatistaVB
11,48,2.24%,spotmkt
26,47,2.19%,gkp1
13,47,2.19%,Guilhermesf27
23,44,2.05%,giordano221
17,43,2.00%,elciogiaretta-ops
9,16,0.75%,YzKencebay
21,15,0.70%,tiago18fap
2,9,0.42%,joaopauloit
67,7,0.33%,WesleyjanLacerda
117,6,0.28%,doryashar
64,4,0.19%,Sarkozit
41,4,0.19%,Bluteco
111,3,0.14%,opttai
92,3,0.14%,jayceadler
100,3,0.14%,francisbreit
70,3,0.14%,backupsGit
79,3,0.14%,leonardobitt
96,3,0.14%,Panic1811
115,3,0.14%,himanshusdeshmukh2106
52,2,0.09%,sidneyfmeco
54,2,0.09%,adolfosp
102,2,0.09%,saggerbr
170,2,0.09%,deivisonrpg
65,2,0.09%,hasiburbondstein-dotcom
107,2,0.09%,jorgevelosodev
99,2,0.09%,allanbrunobr
158,2,0.09%,yousseefspires
29,2,0.09%,accuhealth-cl
30,2,0.09%,cassiofjardim
40,2,0.09%,vinimerida
85,2,0.09%,jinfanzon
36,2,0.09%,vitorbrrs
81,2,0.09%,thezykedev
89,2,0.09%,ofabianomartins
90,2,0.09%,lluiscab
159,1,0.05%,lucastononro
161,1,0.05%,help-corretora
160,1,0.05%,AlanCezarAraujo
168,1,0.05%,tassomuniz
163,1,0.05%,lucasiki
162,1,0.05%,Alexandre-Prado
167,1,0.05%,robjean9
166,1,0.05%,adriel12319
165,1,0.05%,fmedeiros95
164,1,0.05%,gbotelho-kalo
213,1,0.05%,mareanalitica
157,1,0.05%,Richards0nd
145,1,0.05%,GrimBit1
136,1,0.05%,Deepakmalik27
137,1,0.05%,Paulo22xxt
138,1,0.05%,autonomaia
139,1,0.05%,splusoficial
140,1,0.05%,icaro-andrade
141,1,0.05%,gmackbr
142,1,0.05%,julianoaj
143,1,0.05%,fernandoralha
144,1,0.05%,AndersonSilvaCavalcante
146,1,0.05%,wayre
156,1,0.05%,joaosantanadev
147,1,0.05%,erixcel
148,1,0.05%,pedro3g
149,1,0.05%,proteusbr1
150,1,0.05%,Allyson-Santana
151,1,0.05%,jesus-chacon
152,1,0.05%,fmorett
153,1,0.05%,ScrashOff
154,1,0.05%,EdmilsonSantana
155,1,0.05%,MarksonSolutions
169,1,0.05%,rafaelsantana6
175,1,0.05%,oismaelash
171,1,0.05%,FelipeWayne
203,1,0.05%,leandrogoncalves
194,1,0.05%,cark7
195,1,0.05%,Ckk3
196,1,0.05%,Al1st1c
197,1,0.05%,neanderdev
198,1,0.05%,hopchat
199,1,0.05%,jaison-x
200,1,0.05%,altemirjosecoelho
201,1,0.05%,PauloAK
202,1,0.05%,MicroprocessDev
204,1,0.05%,gabrielporfiro
172,1,0.05%,thelioo
205,1,0.05%,renatoiub
206,1,0.05%,4rielmendes
207,1,0.05%,lnmesquita1
208,1,0.05%,AlanMartines
209,1,0.05%,stgcompany
210,1,0.05%,purpshell
215,1,0.05%,matheuskshn
211,1,0.05%,craines
214,1,0.05%,IsraelXabregas
193,1,0.05%,rafaelbatistan
192,1,0.05%,raimartinsb
191,1,0.05%,Ppaulo-Rocha
190,1,0.05%,fabioselau077
173,1,0.05%,computer2407
174,1,0.05%,lucas-tomasi
212,1,0.05%,vitorogen
176,1,0.05%,vagners2
177,1,0.05%,hassan3kb
178,1,0.05%,lopesfontana
179,1,0.05%,olaronymax
180,1,0.05%,smad-bro
181,1,0.05%,diegomustafamarino
182,1,0.05%,galaxy23db
183,1,0.05%,robsoncombr
184,1,0.05%,milesibastos
185,1,0.05%,yantxs
134,1,0.05%,joaobuso
186,1,0.05%,stenioanibal
187,1,0.05%,dev-luizf
216,1,0.05%,franciscoeymardneto
188,1,0.05%,ustoppble
189,1,0.05%,matheusmaiberg
135,1,0.05%,Viollet190623
109,1,0.05%,DouglasSalvagni
133,1,0.05%,DuilioMF
50,1,0.05%,jasplink-spec
53,1,0.05%,tvieirabruna
55,1,0.05%,fredericoalvesmoreira2025
56,1,0.05%,netoduwe
57,1,0.05%,pedrosantosredefacil
58,1,0.05%,Droid0123
59,1,0.05%,DoShaston
60,1,0.05%,Regis-BR
61,1,0.05%,edubortolotti
63,1,0.05%,masimpacto
66,1,0.05%,moabmoraes
68,1,0.05%,rapososoftwares
69,1,0.05%,salomonamiga
71,1,0.05%,lotto645sandeepkumar-sys
72,1,0.05%,gabrielmarketingfrt-hash
73,1,0.05%,kleberit
74,1,0.05%,orlandombaa
75,1,0.05%,Eslamahmed211
51,1,0.05%,ewanly
49,1,0.05%,fluintech
77,1,0.05%,zerosantos2207-creator
48,1,0.05%,r0usis
12,1,0.05%,LuizEdgar
19,1,0.05%,AdaiasMagdiel
25,1,0.05%,LeonardoCostaCTN
27,1,0.05%,myposty
28,1,0.05%,ianmsfvenom
32,1,0.05%,ianvirtualis-sudo
34,1,0.05%,EsauAlencar1
35,1,0.05%,raffarossi
37,1,0.05%,vaxjc
38,1,0.05%,gabrielcald
39,1,0.05%,JMedeiros17
42,1,0.05%,Riders004
43,1,0.05%,brunomond
44,1,0.05%,vitorhfcastro
45,1,0.05%,maikelagm
46,1,0.05%,pbm94
47,1,0.05%,sutidor
76,1,0.05%,exiliumgames
78,1,0.05%,igorcb123
132,1,0.05%,Benjadevhw
110,1,0.05%,GabrielAlmeida987
113,1,0.05%,AlexSzefezuk
114,1,0.05%,jhonatan2462
116,1,0.05%,sstephanyy
118,1,0.05%,filipehdbr
119,1,0.05%,henriquemod
120,1,0.05%,ebertti
121,1,0.05%,deskzap
122,1,0.05%,alexandreviolamelo
123,1,0.05%,luckymenbr
124,1,0.05%,lexdigital53-cmd
125,1,0.05%,dricaroguilherme-oss
126,1,0.05%,abbjunior123-wq
127,1,0.05%,FRANKLIMPAIXAO
128,1,0.05%,dependabot[bot]
129,1,0.05%,nicobernard
130,1,0.05%,roberto0arruda
131,1,0.05%,birizinit
112,1,0.05%,Jerribeiro1
1,1,0.05%,mhhmod
80,1,0.05%,firstatack
108,1,0.05%,huenderpereira
82,1,0.05%,samuelseixassilva
83,1,0.05%,vduggen
84,1,0.05%,LuizFelipeCode
86,1,0.05%,GMUNDI
87,1,0.05%,JoaoCaFeBe
88,1,0.05%,FrewsDev
91,1,0.05%,carlosqlt-007
93,1,0.05%,rodrigotvq
94,1,0.05%,antoniomldev
95,1,0.05%,jfobaltazar
97,1,0.05%,tvbrgamer
98,1,0.05%,sanini
101,1,0.05%,gqueirozs
103,1,0.05%,Casmei
104,1,0.05%,primocassiano
105,1,0.05%,Wesley232-oa
106,1,0.05%,jungabriel56
217,1,0.05%,grdamasceno
